iter	Passed	Remaining
0	1	110
1	1	88
2	2	77
3	2	67
4	3	64
5	3	62
6	4	60
7	5	58
8	5	56
9	6	55
10	6	54
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	10	48
18	11	48
19	11	47
20	12	46
21	13	46
22	14	47
23	14	46
24	15	46
25	16	45
26	16	45
27	17	44
28	18	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	22	41
35	22	40
36	23	40
37	24	39
38	25	39
39	25	38
40	26	37
41	26	36
42	27	36
43	28	36
44	29	35
45	29	34
46	30	34
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	36	25
59	37	25
60	38	24
61	38	23
62	39	22
63	39	22
64	40	21
65	40	21
66	41	20
67	42	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	51	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	56	6
90	57	5
91	57	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	62	0
99	62	0
